INFO 2020-07-08 21:22:53,317 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 304 0
INFO 2020-07-08 21:22:53,349 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 0
INFO 2020-07-08 21:23:12,122 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 4370
INFO 2020-07-08 21:23:12,155 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 126432
INFO 2020-07-08 21:23:12,164 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2020-07-08 21:23:12,164 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8376
INFO 2020-07-08 21:23:12,164 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
INFO 2020-07-08 21:23:12,165 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
INFO 2020-07-08 21:23:12,165 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2020-07-08 21:23:12,170 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 200 240196
INFO 2020-07-08 21:23:12,175 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2020-07-08 21:23:12,176 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 200 4561
INFO 2020-07-08 21:23:12,176 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 200 8195
INFO 2020-07-08 21:23:12,178 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4165
INFO 2020-07-08 21:23:12,178 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 200 42543
INFO 2020-07-08 21:23:12,179 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 58327
INFO 2020-07-08 21:23:12,190 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2020-07-08 21:23:12,196 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 200 31918
INFO 2020-07-08 21:23:12,197 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 200 3489
INFO 2020-07-08 21:23:12,200 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 4377
INFO 2020-07-08 21:23:12,251 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
WARNING 2020-07-08 21:23:12,433 base 93 Not Found: /favicon.ico
WARNING 2020-07-08 21:23:12,434 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 2315
INFO 2020-07-08 21:23:27,633 basehttp 124 "POST /xadmin/ HTTP/1.1" 302 0
INFO 2020-07-08 21:23:56,393 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 12072
INFO 2020-07-08 21:23:56,411 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2020-07-08 21:23:56,411 basehttp 124 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2020-07-08 21:23:56,411 basehttp 124 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2020-07-08 21:24:00,442 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:24:07,078 basehttp 124 "POST /xadmin/ HTTP/1.1" 302 0
INFO 2020-07-08 21:24:11,138 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 12072
INFO 2020-07-08 21:24:11,145 basehttp 124 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2020-07-08 21:24:11,152 basehttp 124 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2020-07-08 21:24:11,152 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2020-07-08 21:24:15,184 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:24:29,722 basehttp 124 "GET /xadmin/homeapp/carousel/ HTTP/1.1" 200 22073
INFO 2020-07-08 21:24:29,738 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 200 1990
INFO 2020-07-08 21:24:29,740 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 200 529
INFO 2020-07-08 21:24:29,741 basehttp 124 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 200 1105
INFO 2020-07-08 21:24:29,743 basehttp 124 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 200 1948
INFO 2020-07-08 21:24:29,743 basehttp 124 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 200 3763
INFO 2020-07-08 21:24:29,744 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 200 2319
INFO 2020-07-08 21:24:33,765 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:24:41,443 basehttp 124 "GET /xadmin/homeapp/carousel/add/ HTTP/1.1" 200 17138
INFO 2020-07-08 21:24:41,456 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/css/bootstrap-image-gallery.css HTTP/1.1" 200 3339
INFO 2020-07-08 21:24:41,459 basehttp 124 "GET /static/xadmin/vendor/load-image/load-image.js HTTP/1.1" 200 8309
INFO 2020-07-08 21:24:41,459 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/js/bootstrap-image-gallery.js HTTP/1.1" 200 15611
INFO 2020-07-08 21:24:45,476 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:26:47,287 basehttp 124 "POST /xadmin/homeapp/carousel/add/ HTTP/1.1" 302 0
INFO 2020-07-08 21:26:51,378 basehttp 124 "GET /xadmin/homeapp/carousel/add/ HTTP/1.1" 200 17487
INFO 2020-07-08 21:26:55,409 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:27:53,649 basehttp 124 "POST /xadmin/homeapp/carousel/add/ HTTP/1.1" 302 0
INFO 2020-07-08 21:27:57,739 basehttp 124 "GET /xadmin/homeapp/carousel/add/ HTTP/1.1" 200 17490
INFO 2020-07-08 21:28:01,788 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:28:27,838 basehttp 124 "POST /xadmin/homeapp/carousel/add/ HTTP/1.1" 302 0
INFO 2020-07-08 21:28:31,906 basehttp 124 "GET /xadmin/homeapp/carousel/ HTTP/1.1" 200 27319
INFO 2020-07-08 21:28:31,919 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2020-07-08 21:28:35,932 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:28:46,172 basehttp 124 "GET /xadmin/homeapp/carousel/2/update/ HTTP/1.1" 200 17650
INFO 2020-07-08 21:28:46,184 basehttp 124 "GET /media/carousel/02_RtWArew.png HTTP/1.1" 200 364808
INFO 2020-07-08 21:28:50,214 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:29:12,077 basehttp 124 "POST /xadmin/homeapp/carousel/2/update/ HTTP/1.1" 302 0
INFO 2020-07-08 21:29:16,174 basehttp 124 "GET /xadmin/homeapp/carousel/ HTTP/1.1" 200 27254
INFO 2020-07-08 21:29:20,208 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:29:28,597 basehttp 124 "GET /xadmin/homeapp/carousel/3/update/ HTTP/1.1" 200 17650
INFO 2020-07-08 21:29:28,611 basehttp 124 "GET /media/carousel/03_4jjtDVK.png HTTP/1.1" 200 745382
INFO 2020-07-08 21:29:32,620 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:29:45,310 basehttp 124 "POST /xadmin/homeapp/carousel/3/update/ HTTP/1.1" 302 0
INFO 2020-07-08 21:29:49,406 basehttp 124 "GET /xadmin/homeapp/carousel/ HTTP/1.1" 200 27255
INFO 2020-07-08 21:29:53,441 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 21:53:05,621 basehttp 124 "GET /homeapp/carousel/ HTTP/1.1" 200 256
INFO 2020-07-08 21:53:05,647 basehttp 124 "GET /media/carousel/02_UE31DXT.png HTTP/1.1" 200 364808
INFO 2020-07-08 21:53:05,651 basehttp 124 "GET /media/carousel/03_YCZeaog.png HTTP/1.1" 200 745382
INFO 2020-07-08 21:53:05,655 basehttp 124 "GET /media/carousel/01_skaW0Jf.png HTTP/1.1" 200 737783
INFO 2020-07-08 21:55:07,130 basehttp 124 "GET /homeapp/carousel/ HTTP/1.1" 200 256
INFO 2020-07-08 21:55:07,143 basehttp 124 "GET /media/carousel/03_YCZeaog.png HTTP/1.1" 304 0
INFO 2020-07-08 21:55:07,144 basehttp 124 "GET /media/carousel/02_UE31DXT.png HTTP/1.1" 304 0
INFO 2020-07-08 21:55:07,147 basehttp 124 "GET /media/carousel/01_skaW0Jf.png HTTP/1.1" 304 0
INFO 2020-07-08 21:56:49,394 basehttp 124 "GET /homeapp/carousel/ HTTP/1.1" 200 256
INFO 2020-07-08 21:56:49,407 basehttp 124 "GET /media/carousel/03_YCZeaog.png HTTP/1.1" 304 0
INFO 2020-07-08 21:56:49,415 basehttp 124 "GET /media/carousel/01_skaW0Jf.png HTTP/1.1" 304 0
INFO 2020-07-08 21:56:49,415 basehttp 124 "GET /media/carousel/02_UE31DXT.png HTTP/1.1" 304 0
INFO 2020-07-08 22:11:04,699 basehttp 124 "GET /xadmin/homeapp/nav/ HTTP/1.1" 200 23793
INFO 2020-07-08 22:11:06,628 basehttp 124 "GET /xadmin/homeapp/nav/ HTTP/1.1" 200 23793
INFO 2020-07-08 22:11:07,127 basehttp 124 "GET /xadmin/homeapp/nav/ HTTP/1.1" 200 23793
INFO 2020-07-08 22:11:07,393 basehttp 124 "GET /xadmin/homeapp/nav/ HTTP/1.1" 200 23793
INFO 2020-07-08 22:11:07,846 basehttp 124 "GET /xadmin/homeapp/nav/ HTTP/1.1" 200 23793
INFO 2020-07-08 22:11:08,662 basehttp 124 "GET /xadmin/homeapp/nav/ HTTP/1.1" 200 23793
INFO 2020-07-08 22:11:08,680 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,681 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,685 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,686 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,688 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,692 basehttp 124 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,694 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,694 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,698 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,700 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,701 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,703 basehttp 124 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,704 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,706 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,708 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,709 basehttp 124 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,710 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,712 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,716 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,716 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:08,719 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 304 0
